2
370     1   300.0   20000 5 
3000     1   450.0   35000 5
40
23317
20492
26652
20756
27301
20280
24286
29441
23865
29689
28444
26619
28440
24729
28031
28117
28097
25771
24481
20675
20709
28927
24567
27856
29497
22353
24586
26965
25306
24683
26219
28624
21528
22871
25732
28829
29503
20019
28270
23368
4.00000   4.00000
12.00000   12.00000
12.00000   4.00000
4.00000   12.00000
12.86000   7.77000
5.93000   15.35000
12.92000   6.49000
15.62000   4.27000
8.59000   9.63000
5.40000   2.26000
13.36000   12.11000
1.67000   4.29000
15.30000   4.62000
4.67000   7.35000
6.02000   4.22000
10.69000   13.67000
0.56000   14.11000
2.29000   5.73000
9.19000   1.84000
15.98000   15.24000
3.70000   8.13000
0.91000   1.80000
2.73000   12.62000
13.96000   12.81000
9.25000   2.84000
3.36000   1.05000
1.29000   5.13000
9.24000   10.95000
13.45000   4.14000
2.34000   7.64000
1.50000   6.87000
4.76000   7.78000
15.84000   6.03000
15.54000   11.99000
14.60000   8.76000
5.39000   4.12000
9.86000   0.94000
7.95000   13.70000
3.78000   14.67000
4.97000   1.02000
1 1 0.0  0.0000
1 2 135.0  11.3137
1 3 187.5  8.0000
1 4 75.0  8.0000
1 5 8.0  9.6287
1 6 7.0  11.5129
1 7 4.0  9.2610
1 8 9.0  11.6231
1 9 4.0  7.2640
1 10 5.0  2.2333
1 11 1.0  12.3847
1 12 7.0  2.3480
1 13 4.0  11.3170
1 14 10.0  3.4163
1 15 6.0  2.0319
1 16 8.0  11.7586
1 17 8.0  10.6792
1 18 0.0  2.4325
1 19 7.0  5.6215
1 20 3.0  16.4274
1 21 9.0  4.1409
1 22 0.0  3.7932
1 23 1.0  8.7131
1 24 5.0  13.2973
1 25 8.0  5.3766
1 26 4.0  3.0186
1 27 0.0  2.9362
1 28 6.0  8.7040
1 29 4.0  9.4510
1 30 2.0  4.0006
1 31 2.0  3.8062
1 32 9.0  3.8556
1 33 6.0  12.0128
1 34 7.0  14.0361
1 35 9.0  11.6197
1 36 1.0  1.3952
1 37 3.0  6.6108
1 38 3.0  10.4734
1 39 8.0  10.6723
1 40 8.0  3.1339
2 1 82.5  11.3137
2 2 0.0  0.0000
